group,alignment_threshold,artifact_threshold,probability
Sys_DiT_ref_cls_1k,0.12,0.04,0.9609999999999981
Sys_DiT_ref_cls_1k,0.12,0.06,0.9609999999999981
Sys_DiT_ref_cls_1k,0.12,0.08,0.9609999999999981
Sys_DiT_ref_cls_1k,0.12,0.1,0.9601999999999978
Sys_DiT_ref_cls_1k,0.12,0.12,0.9601999999999978
Sys_DiT_ref_cls_1k,0.12,0.14,0.9595999999999979
Sys_DiT_ref_cls_1k,0.12,0.16,0.9595999999999979
Sys_DiT_ref_cls_1k,0.12,0.18,0.9555999999999978
Sys_DiT_ref_cls_1k,0.12,0.2,0.9517999999999975
Sys_DiT_ref_cls_1k,0.12,0.22,0.9517999999999975
Sys_DiT_ref_cls_1k,0.12,0.24,0.9471999999999979
Sys_DiT_ref_cls_1k,0.12,0.26,0.9053499999999968
Sys_DiT_ref_cls_1k,0.12,0.28,0.9045499999999965
Sys_DiT_ref_cls_1k,0.12,0.3,0.892749999999997
Sys_DiT_ref_cls_1k,0.12,0.32,0.7500999999999988
Sys_DiT_ref_cls_1k,0.12,0.34,0.7400999999999989
Sys_DiT_ref_cls_1k,0.12,0.36,0.7390999999999989
Sys_DiT_ref_cls_1k,0.12,0.38,0.7026999999999997
Sys_DiT_ref_cls_1k,0.12,0.4,0.6826999999999991
Sys_DiT_ref_cls_1k,0.12,0.42,0.6484999999999997
Sys_DiT_ref_cls_1k,0.12,0.44,0.5871000000000003
Sys_DiT_ref_cls_1k,0.12,0.46,0.5859000000000002
Sys_DiT_ref_cls_1k,0.12,0.48,0.5813000000000001
Sys_DiT_ref_cls_1k,0.12,0.5,0.5641000000000005
Sys_DiT_ref_cls_1k,0.12,0.52,0.5641000000000005
Sys_DiT_ref_cls_1k,0.12,0.54,0.5447000000000007
Sys_DiT_ref_cls_1k,0.12,0.56,0.5331000000000006
Sys_DiT_ref_cls_1k,0.12,0.58,0.42749999999999994
Sys_DiT_ref_cls_1k,0.12,0.6,0.42009999999999986
Sys_DiT_ref_cls_1k,0.12,0.62,0.40084999999999976
Sys_DiT_ref_cls_1k,0.12,0.64,0.3954499999999997
Sys_DiT_ref_cls_1k,0.12,0.66,0.3760499999999994
Sys_DiT_ref_cls_1k,0.12,0.68,0.37544999999999934
Sys_DiT_ref_cls_1k,0.12,0.7,0.3616499999999993
Sys_DiT_ref_cls_1k,0.12,0.72,0.3616499999999993
Sys_DiT_ref_cls_1k,0.12,0.74,0.26319999999999927
Sys_DiT_ref_cls_1k,0.12,0.76,0.22239999999999951
Sys_DiT_ref_cls_1k,0.12,0.78,0.12380000000000067
Sys_DiT_ref_cls_1k,0.12,0.8,0.11840000000000066
Sys_DiT_ref_cls_1k,0.12,0.82,0.11820000000000065
Sys_DiT_ref_cls_1k,0.12,0.84,0.10300000000000048
Sys_DiT_ref_cls_1k,0.12,0.86,0.0910000000000004
Sys_DiT_ref_cls_1k,0.12,0.88,0.08900000000000037
Sys_DiT_ref_cls_1k,0.12,0.9,0.08900000000000037
Sys_DiT_ref_cls_1k,0.12,0.92,0.08700000000000035
Sys_DiT_ref_cls_1k,0.12,0.94,0.07460000000000029
Sys_DiT_ref_cls_1k,0.12,0.96,0.06700000000000024
Sys_DiT_ref_cls_1k,0.12,0.98,0.04960000000000008
